Company Name,Glassdoor URL
DOLE FOOD CO INC,https://www.glassdoor.com/Reviews/atlanta-dole-food-co-inc-reviews-SRCH_IL.0,7_IM52_KE8,24.htm
CATERPILLAR INC,https://www.glassdoor.com/Reviews/atlanta-caterpillar-inc-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
CAVCO INDUSTRIES INC,https://www.glassdoor.com/Reviews/atlanta-cavco-industries-inc-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
R F INDUSTRIES LTD,https://www.glassdoor.com/Reviews/atlanta-rf-industries-ltd-reviews-SRCH_IL.0,7_IM52_KE8,25.htm
CENTEX CORP,https://www.glassdoor.com/Reviews/atlanta-centex-corp-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
CH ENERGY GROUP INC,https://www.glassdoor.com/Reviews/atlanta-ch-energy-group-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CLECO CORP,https://www.glassdoor.com/Reviews/atlanta-cleco-corp-reviews-SRCH_IL.0,7_IM52_KE8,18.htm
AEP TEXAS CENTRAL CO,https://www.glassdoor.com/Reviews/atlanta-aep-texas-central-co-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
CENTRAL STEEL & WIRE CO,https://www.glassdoor.com/Reviews/atlanta-central-steel-wire-co-reviews-SRCH_IL.0,7_IM52_KE8,29.htm
CENTURYLINK INC,https://www.glassdoor.com/Reviews/atlanta-centurylink-inc-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
CHAD THERAPEUTICS INC,https://www.glassdoor.com/Reviews/atlanta-chad-therapeutics-inc-reviews-SRCH_IL.0,7_IM52_KE8,29.htm
UNIFIED GROCERS INC,https://www.glassdoor.com/Reviews/atlanta-unified-grocers-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CHAMPION ENTERPRISES INC,https://www.glassdoor.com/Reviews/atlanta-champion-enterprises-inc-reviews-SRCH_IL.0,7_IM52_KE8,32.htm
MAGELLAN HEALTH INC,https://www.glassdoor.com/Reviews/atlanta-magellan-health-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CANTEL MEDICAL CORP,https://www.glassdoor.com/Reviews/atlanta-cantel-medical-corp-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CHATTEM INC,https://www.glassdoor.com/Reviews/atlanta-chattem-inc-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
DELPHAX TECHNOLOGIES INC,https://www.glassdoor.com/Reviews/atlanta-delphax-technologies-inc-reviews-SRCH_IL.0,7_IM52_KE8,32.htm
CHECKPOINT SYSTEMS INC,https://www.glassdoor.com/Reviews/atlanta-checkpoint-systems-inc-reviews-SRCH_IL.0,7_IM52_KE8,30.htm
CHEMED CORP,https://www.glassdoor.com/Reviews/atlanta-chemed-corp-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
JPMORGAN CHASE & CO,https://www.glassdoor.com/Reviews/atlanta-jpmorgan-chase-co-reviews-SRCH_IL.0,7_IM52_KE8,25.htm
CHESAPEAKE CORP,https://www.glassdoor.com/Reviews/atlanta-chesapeake-corp-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
CHESAPEAKE UTILITIES CORP,https://www.glassdoor.com/Reviews/atlanta-chesapeake-utilities-corp-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
CELSION CORP,https://www.glassdoor.com/Reviews/atlanta-celsion-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
CHEVRON CORP,https://www.glassdoor.com/Reviews/atlanta-chevron-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
CHICAGO RIVET & MACHINE CO,https://www.glassdoor.com/Reviews/atlanta-chicago-rivet-machine-co-reviews-SRCH_IL.0,7_IM52_KE8,32.htm
CHIEF CONSOLIDATED MINING CO,https://www.glassdoor.com/Reviews/atlanta-chief-consolidated-mining-co-reviews-SRCH_IL.0,7_IM52_KE8,36.htm
BRINKER INTL INC,https://www.glassdoor.com/Reviews/atlanta-brinker-intl-inc-reviews-SRCH_IL.0,7_IM52_KE8,24.htm
CHUBB CORP,https://www.glassdoor.com/Reviews/atlanta-chubb-corp-reviews-SRCH_IL.0,7_IM52_KE8,18.htm
CHURCH & DWIGHT INC,https://www.glassdoor.com/Reviews/atlanta-church-dwight-inc-reviews-SRCH_IL.0,7_IM52_KE8,25.htm
CHURCHILL DOWNS INC,https://www.glassdoor.com/Reviews/atlanta-churchill-downs-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CHYRONHEGO CORP,https://www.glassdoor.com/Reviews/atlanta-chyronhego-corp-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
CINCINNATI BELL INC,https://www.glassdoor.com/Reviews/atlanta-cincinnati-bell-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
DUKE ENERGY OHIO INC,https://www.glassdoor.com/Reviews/atlanta-duke-energy-ohio-inc-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
MILACRON INC,https://www.glassdoor.com/Reviews/atlanta-milacron-inc-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
CIPRICO INC,https://www.glassdoor.com/Reviews/atlanta-ciprico-inc-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
CIRCUIT CITY STORES INC,https://www.glassdoor.com/Overview/Working-at-Circuit-City-EI_IE8231.11,23.htm
CIRCUIT RESEARCH LABS INC,https://www.glassdoor.com/Reviews/atlanta-circuit-research-labs-inc-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
CINTAS CORP,https://www.glassdoor.com/Reviews/atlanta-cintas-corp-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
CITIZENS REPUBLIC BANCORP,https://www.glassdoor.com/Reviews/atlanta-citizens-republic-bancorp-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
CITY NATIONAL CORP,https://www.glassdoor.com/Reviews/atlanta-city-national-corp-reviews-SRCH_IL.0,7_IM52_KE8,26.htm
CLAIRES STORES INC,https://www.glassdoor.com/Reviews/atlanta-claires-stores-inc-reviews-SRCH_IL.0,7_IM52_KE8,26.htm
CLARCOR INC,https://www.glassdoor.com/Reviews/atlanta-clarcor-inc-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
IHEARTMEDIA INC,https://www.glassdoor.com/Overview/Working-at-iHeartMedia-EI_IE354635.11,22.htm
CLEVELAND-CLIFFS INC,https://www.glassdoor.com/Reviews/atlanta-cleveland-cliffs-inc-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
CLINICAL DATA INC,https://www.glassdoor.com/Reviews/atlanta-clinical-data-inc-reviews-SRCH_IL.0,7_IM52_KE8,25.htm
CLOROX CO/DE,https://www.glassdoor.com/Reviews/atlanta-clorox-co-de-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
ALL AMERICAN GROUP INC,https://www.glassdoor.com/Reviews/atlanta-all-american-group-inc-reviews-SRCH_IL.0,7_IM52_KE8,30.htm
COAST DISTRIBUTION SYSTEMS,https://www.glassdoor.com/Reviews/atlanta-coast-distribution-systems-reviews-SRCH_IL.0,7_IM52_KE8,34.htm
COCA COLA CONSOLIDATED INC,https://www.glassdoor.com/Overview/Working-at-Coca-Cola-Consolidated-EI_IE1272.11,33.htm
COCA-COLA CO,https://www.glassdoor.com/Reviews/atlanta-coca-cola-co-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
COEUR MINING INC,https://www.glassdoor.com/Reviews/atlanta-coeur-mining-inc-reviews-SRCH_IL.0,7_IM52_KE8,24.htm
THINKENGINE NETWORKS INC,https://www.glassdoor.com/Reviews/atlanta-thinkengine-networks-inc-reviews-SRCH_IL.0,7_IM52_KE8,32.htm
COHERENT INC,https://www.glassdoor.com/Reviews/atlanta-coherent-inc-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
COHU INC,https://www.glassdoor.com/Reviews/atlanta-cohu-inc-reviews-SRCH_IL.0,7_IM52_KE8,16.htm
ONCOMED PHARMACEUTICALS,https://www.glassdoor.com/Reviews/atlanta-oncomed-pharmaceuticals-reviews-SRCH_IL.0,7_IM52_KE8,31.htm
COLGATE-PALMOLIVE CO,https://www.glassdoor.com/Reviews/atlanta-colgate-palmolive-co-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
OSCIENT PHARMACEUTICALS CORP,https://www.glassdoor.com/Reviews/atlanta-oscient-pharmaceuticals-corp-reviews-SRCH_IL.0,7_IM52_KE8,36.htm
CCOM GROUP INC,https://www.glassdoor.com/Reviews/atlanta-ccom-group-inc-reviews-SRCH_IL.0,7_IM52_KE8,22.htm
COLORADO INTERSTATE GAS CO,https://www.glassdoor.com/Reviews/atlanta-colorado-interstate-gas-co-reviews-SRCH_IL.0,7_IM52_KE8,34.htm
CHASE CORP,https://www.glassdoor.com/Reviews/atlanta-chase-corp-reviews-SRCH_IL.0,7_IM52_KE8,18.htm
COLUMBUS SOUTHERN POWER CORP,https://www.glassdoor.com/Reviews/atlanta-columbus-southern-power-corp-reviews-SRCH_IL.0,7_IM52_KE8,36.htm
COMARCO INC,https://www.glassdoor.com/Reviews/atlanta-comarco-inc-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
AON PLC,https://www.glassdoor.com/Reviews/atlanta-aon-plc-reviews-SRCH_IL.0,7_IM52_KE8,15.htm
COMCAST CORP,https://www.glassdoor.com/Reviews/atlanta-comcast-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
COMERICA INC,https://www.glassdoor.com/Reviews/atlanta-comerica-inc-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
COMMERCE BANCSHARES INC,https://www.glassdoor.com/Reviews/atlanta-commerce-bancshares-inc-reviews-SRCH_IL.0,7_IM52_KE8,31.htm
COMMERCE GROUP CORP,https://www.glassdoor.com/Reviews/atlanta-commerce-group-corp-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
CITIGROUP INC,https://www.glassdoor.com/Reviews/citigroup-inc-reviews-SRCH_KE0,13.htm
COMMERCIAL METALS,https://www.glassdoor.com/Overview/Working-at-Commercial-Metals-EI_IE164.11,28.htm
CTI GROUP HOLDINGS INC,https://www.glassdoor.com/Reviews/atlanta-cti-group-holdings-inc-reviews-SRCH_IL.0,7_IM52_KE8,30.htm
COMMUNICATIONS SYSTEMS INC,https://www.glassdoor.com/Reviews/atlanta-communications-systems-inc-reviews-SRCH_IL.0,7_IM52_KE8,34.htm
AVIS BUDGET GROUP INC,https://www.glassdoor.com/Reviews/atlanta-avis-budget-group-inc-reviews-SRCH_IL.0,7_IM52_KE8,29.htm
COMPREHENSIVE CARE CORP,https://www.glassdoor.com/Reviews/atlanta-comprehensive-care-corp-reviews-SRCH_IL.0,7_IM52_KE8,31.htm
CA INC,https://www.glassdoor.com/Reviews/atlanta-ca-inc-reviews-SRCH_IL.0,7_IM52_KE8,14.htm
DXC TECHNOLOGY CO,https://www.glassdoor.com/Reviews/atlanta-dxc-technology-co-reviews-SRCH_IL.0,7_IM52_KE8,25.htm
COMPUTER TASK GROUP INC,https://www.glassdoor.com/Reviews/atlanta-computer-task-group-inc-reviews-SRCH_IL.0,7_IM52_KE8,31.htm
COMTECH TELECOMMUN,https://www.glassdoor.com/Reviews/atlanta-comtech-telecommun-reviews-SRCH_IL.0,7_IM52_KE8,26.htm
CONAGRA BRANDS INC,https://www.glassdoor.com/Overview/Working-at-Conagra-Brands-EI_IE172.11,25.htm
UMAX GROUP CORP,https://www.glassdoor.com/Reviews/atlanta-umax-group-corp-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
COMPUTER HORIZONS CORP,https://www.glassdoor.com/Reviews/atlanta-computer-horizons-corp-reviews-SRCH_IL.0,7_IM52_KE8,30.htm
COMTEX NEWS NETWORK INC,https://www.glassdoor.com/Reviews/atlanta-comtex-news-network-inc-reviews-SRCH_IL.0,7_IM52_KE8,31.htm
RAVE RESTAURANT GROUP INC,https://www.glassdoor.com/Reviews/atlanta-rave-restaurant-group-inc-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
SHUTTERSTOCK INC,https://www.glassdoor.com/Reviews/atlanta-shutterstock-inc-reviews-SRCH_IL.0,7_IM52_KE8,24.htm
CONNECTICUT LIGHT & POWER CO,https://www.glassdoor.com/Reviews/atlanta-connecticut-light-power-co-reviews-SRCH_IL.0,7_IM52_KE8,34.htm
CONOLOG CORP,https://www.glassdoor.com/Reviews/atlanta-conolog-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
TARRAGON CORP,https://www.glassdoor.com/Reviews/atlanta-tarragon-corp-reviews-SRCH_IL.0,7_IM52_KE8,21.htm
CONSOLIDATED EDISON INC,https://www.glassdoor.com/Reviews/atlanta-consolidated-edison-inc-reviews-SRCH_IL.0,7_IM52_KE8,31.htm
CON-WAY INC,https://www.glassdoor.com/Reviews/atlanta-con-way-inc-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
BIGLARI HOLDINGS INC,https://www.glassdoor.com/Overview/Working-at-Steak-n-Shake-EI_IE1296.11,24.htm
CONSOLIDATED TOMOKA LAND CO,https://www.glassdoor.com/Reviews/atlanta-consolidated-tomoka-land-co-reviews-SRCH_IL.0,7_IM52_KE8,35.htm
CMS ENERGY CORP,https://www.glassdoor.com/Reviews/atlanta-cms-energy-corp-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
CONTINENTAL MATERIALS CORP,https://www.glassdoor.com/Reviews/atlanta-continental-materials-corp-reviews-SRCH_IL.0,7_IM52_KE8,34.htm
CONTINENTAL RESOURCES INC,https://www.glassdoor.com/Reviews/atlanta-continental-resources-inc-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
CERIDIAN CORP,https://www.glassdoor.com/Reviews/atlanta-ceridian-corp-reviews-SRCH_IL.0,7_IM52_KE8,21.htm
COOPER INDUSTRIES PLC,https://www.glassdoor.com/Reviews/atlanta-cooper-industries-plc-reviews-SRCH_IL.0,7_IM52_KE8,29.htm
COOPER TIRE & RUBBER CO,https://www.glassdoor.com/Reviews/atlanta-cooper-tire-rubber-co-reviews-SRCH_IL.0,7_IM52_KE8,29.htm
COOPER COS INC (THE),https://www.glassdoor.com/Reviews/atlanta-cooper-cos-inc-the-reviews-SRCH_IL.0,7_IM52_KE8,26.htm
MOLSON COORS BREWING CO,https://www.glassdoor.com/Reviews/atlanta-molson-coors-brewing-co-reviews-SRCH_IL.0,7_IM52_KE8,31.htm
CORBY SPIRIT AND WINE LTD,https://www.glassdoor.com/Reviews/atlanta-corby-spirit-and-wine-ltd-reviews-SRCH_IL.0,7_IM52_KE8,33.htm
CORNING INC,https://www.glassdoor.com/Reviews/atlanta-corning-inc-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
CANADA BREAD CO LTD,https://www.glassdoor.com/Reviews/atlanta-canada-bread-co-ltd-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
TRUE VALUE CO,https://www.glassdoor.com/Reviews/atlanta-true-value-co-reviews-SRCH_IL.0,7_IM52_KE8,21.htm
COUNTRYWIDE FINANCIAL CORP,https://www.glassdoor.com/Reviews/atlanta-countrywide-financial-corp-reviews-SRCH_IL.0,7_IM52_KE8,34.htm
COURIER CORP,https://www.glassdoor.com/Reviews/atlanta-courier-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
COUSINS PROPERTIES INC,https://www.glassdoor.com/Reviews/atlanta-cousins-properties-inc-reviews-SRCH_IL.0,7_IM52_KE8,30.htm
CRANE CO,https://www.glassdoor.com/Reviews/atlanta-crane-co-reviews-SRCH_IL.0,7_IM52_KE8,16.htm
CRAWFORD & CO,https://www.glassdoor.com/Reviews/atlanta-crawford-co-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
ASPYRA INC,https://www.glassdoor.com/Reviews/atlanta-aspyra-inc-reviews-SRCH_IL.0,7_IM52_KE8,18.htm
SPRINGLEAF FINANCE CORP,https://www.glassdoor.com/Reviews/atlanta-springleaf-finance-corp-reviews-SRCH_IL.0,7_IM52_KE8,31.htm
ONEMAIN HOLDINGS INC,https://www.glassdoor.com/Reviews/atlanta-onemain-holdings-inc-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
CREDO PETROLEUM CORP,https://www.glassdoor.com/Reviews/atlanta-credo-petroleum-corp-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
CHEMTURA CORP,https://www.glassdoor.com/Reviews/atlanta-chemtura-corp-reviews-SRCH_IL.0,7_IM52_KE8,21.htm
CROWN HOLDINGS INC,https://www.glassdoor.com/Reviews/atlanta-crown-holdings-inc-reviews-SRCH_IL.0,7_IM52_KE8,26.htm
CROWN CRAFTS INC,https://www.glassdoor.com/Reviews/atlanta-crown-crafts-inc-reviews-SRCH_IL.0,7_IM52_KE8,24.htm
CUBIC CORP,https://www.glassdoor.com/Reviews/atlanta-cubic-corp-reviews-SRCH_IL.0,7_IM52_KE8,18.htm
CULLEN/FROST BANKERS INC,https://www.glassdoor.com/Reviews/atlanta-cullen-frost-bankers-inc-reviews-SRCH_IL.0,7_IM52_KE8,32.htm
CULP INC,https://www.glassdoor.com/Reviews/atlanta-culp-inc-reviews-SRCH_IL.0,7_IM52_KE8,16.htm
CUMMINS INC,https://www.glassdoor.com/Reviews/atlanta-cummins-inc-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
CURTISS-WRIGHT CORP,https://www.glassdoor.com/Reviews/atlanta-curtiss-wright-corp-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
GT BIOPHARMA INC,https://www.glassdoor.com/Reviews/atlanta-gt-biopharma-inc-reviews-SRCH_IL.0,7_IM52_KE8,24.htm
DST SYSTEMS INC,https://www.glassdoor.com/Reviews/atlanta-dst-systems-inc-reviews-SRCH_IL.0,7_IM52_KE8,23.htm
WENDY'S CO,https://www.glassdoor.com/Reviews/company-reviews.htm?sc.employerParam=wendy%27s+co&sc.locationSeoString=atlanta&locId=52&locT=M
DANA INC,https://www.glassdoor.com/Reviews/atlanta-dana-inc-reviews-SRCH_IL.0,7_IM52_KE8,16.htm
DANAHER CORP,https://www.glassdoor.com/Reviews/atlanta-danaher-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
DATA I/O CORP,https://www.glassdoor.com/Reviews/atlanta-data-io-corp-reviews-SRCH_IL.0,7_IM52_KE8,20.htm
DATASCOPE CORP,https://www.glassdoor.com/Reviews/atlanta-datascope-corp-reviews-SRCH_IL.0,7_IM52_KE8,22.htm
DAVEY TREE EXPERT CO,https://www.glassdoor.com/Reviews/atlanta-davey-tree-expert-co-reviews-SRCH_IL.0,7_IM52_KE8,28.htm
DAWSON GEOPHYSICAL CO,https://www.glassdoor.com/Reviews/atlanta-dawson-geophysical-co-reviews-SRCH_IL.0,7_IM52_KE8,29.htm
DAXOR CORP,https://www.glassdoor.com/Reviews/atlanta-daxor-corp-reviews-SRCH_IL.0,7_IM52_KE8,18.htm
TARGET CORP,https://www.glassdoor.com/Reviews/atlanta-target-corp-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
DPL INC,https://www.glassdoor.com/Reviews/atlanta-dpl-inc-reviews-SRCH_IL.0,7_IM52_KE8,15.htm
DE ROSE INDUSTRIES,https://www.glassdoor.com/Reviews/atlanta-de-rose-industries-reviews-SRCH_IL.0,7_IM52_KE8,26.htm
DEB SHOPS INC,https://www.glassdoor.com/Reviews/atlanta-deb-shops-inc-reviews-SRCH_IL.0,7_IM52_KE8,21.htm
DECORATOR INDUSTRIES INC,https://www.glassdoor.com/Reviews/atlanta-decorator-industries-inc-reviews-SRCH_IL.0,7_IM52_KE8,32.htm
DEERE & CO,https://www.glassdoor.com/Reviews/atlanta-deere-co-reviews-SRCH_IL.0,7_IM52_KE8,16.htm
DGT HOLDINGS CORP,https://www.glassdoor.com/Reviews/atlanta-dgt-holdings-corp-reviews-SRCH_IL.0,7_IM52_KE8,25.htm
DVL INC,https://www.glassdoor.com/Reviews/atlanta-dvl-inc-reviews-SRCH_IL.0,7_IM52_KE8,15.htm
DELTA AIR LINES INC,https://www.glassdoor.com/Reviews/atlanta-delta-air-lines-inc-reviews-SRCH_IL.0,7_IM52_KE8,27.htm
DELTA NATURAL GAS CO INC,https://www.glassdoor.com/Reviews/atlanta-delta-natural-gas-co-inc-reviews-SRCH_IL.0,7_IM52_KE8,32.htm
DELUXE CORP,https://www.glassdoor.com/Reviews/atlanta-deluxe-corp-reviews-SRCH_IL.0,7_IM52_KE8,19.htm
HYDRON TECHNOLOGIES INC,https://www.glassdoor.com/Reviews/atlanta-hydron-technologies-inc-reviews-SRCH_IL.0,7_IM52_KE8,31.htm
